2020-01-01,-2,738,ЮЗ 1м/с,-2,740,ЮЗ 1м/с
2020-01-02,-6,749,СЗ 1м/с,-7,750,СЗ 1м/с
2020-01-03,-5,751,Ю 1м/с,-2,749,Ю 1м/с
2020-01-04,-2,745,ЮЗ 3м/с,-1,745,ЮЗ 3м/с
2020-01-05,-1,748,ЮЗ 1м/с,-1,750,ЮЗ 1м/с
2020-01-06,0,755,Ш,-2,756,Ш
2020-01-07,-2,757,З 2м/с,-4,758,З 2м/с
2020-01-08,-4,760,В 1м/с,-4,759,В 1м/с
2020-01-09,-3,755,ЮЗ 2м/с,-5,753,ЮЗ 2м/с
2020-01-10,-4,750,ЮЗ 2м/с,-4,750,ЮЗ 2м/с
2020-01-11,-2,750,ЮЗ 1м/с,-3,749,ЮЗ 1м/с
2020-01-12,-3,751,З 2м/с,-3,750,З 2м/с
2020-01-13,-4,742,З 4м/с,-4,742,З 4м/с
2020-01-14,0,751,З 2м/с,0,753,З 2м/с
2020-01-15,-1,759,З 2м/с,-4,759,З 2м/с
2020-01-16,+1,752,З 4м/с,0,751,З 4м/с
2020-01-17,+1,753,З 1м/с,+1,755,З 1м/с
2020-01-18,+1,756,З 1м/с,+1,757,З 1м/с
2020-01-19,0,755,З 4м/с,-1,755,З 4м/с
2020-01-20,-1,752,З 3м/с,-2,750,З 3м/с
2020-01-21,+1,744,ЮЗ 2м/с,0,739,ЮЗ 2м/с
2020-01-22,+1,731,З 4м/с,-2,731,З 4м/с
2020-01-23,-2,734,СЗ 1м/с,-6,737,СЗ 1м/с
2020-01-24,-7,743,З 3м/с,-10,743,З 3м/с
2020-01-25,-1,734,ЮЗ 2м/с,0,733,ЮЗ 2м/с
2020-01-26,-2,737,СЗ 3м/с,-4,742,СЗ 3м/с
2020-01-27,-2,740,СЗ 5м/с,-7,746,СЗ 5м/с
2020-01-28,-10,756,Ю 1м/с,-13,757,Ю 1м/с
2020-01-29,-8,755,В 3м/с,-10,754,В 3м/с
2020-01-30,-2,748,В 3м/с,-2,747,В 3м/с
2020-01-31,-1,744,ЮВ 2м/с,-1,744,ЮВ 2м/с
2020-02-01,0,745,ЮЗ 1м/с,-1,746,ЮЗ 1м/с
2020-02-02,-1,745,В 2м/с,-1,743,В 2м/с
2020-02-03,+1,729,ЮЗ 3м/с,+2,730,ЮЗ 3м/с
2020-02-04,0,730,З 3м/с,-1,733,З 3м/с
